ID;Date;Title;French Title;URL (page or PDF);French URL;Spanish URL;Summary (optional);French Summary;Spanish Summary;Attachments URL (optional, if in addition to main text);;;;;;;;;;;;;;;
32;3.09.2011;UNEP Executive Director Achim Steiner Visits CMS Family in Bonn;;http://old.cms.int/news/PRESS/nwPR2011/09_sep/nw_030911_ed_visits_bonn.htm;;;;;;;;;;;;;;;;;;;;;
33;12.09.2011;Friends of CMS Launch Species Conservation Calendar 2012;;http://old.cms.int/news/PRESS/nwPR2011/09_sep/nw_120911_species_conservation_calendar.htm;;;;;;;;;;;;;;;;;;;;;
34;14.09.2011;CMS Welcomes Migratory Wildlife Network Civil Society Support;;http://old.cms.int/news/PRESS/nwPR2011/09_sep/nw_140911_CMS_migratory_wildlife_network_partnership.htm;;;;;;;;;;;;;;;;;;;;;
35;20.09.2011;UNEP/CMS Thesis Award Goes To Researcher on African Elephants;;http://old.cms.int/news/PRESS/nwPR2011/09_sep/nw_200911_thesis_award_winner.htm;;;;;;;;;;;;;;;;;;;;;
36;26.09.2011;Malaysia signs IOSEA Marine Turtle MOU;;http://old.cms.int/news/PRESS/nwPR2011/09_sep/nw_260911_malaysia_iosea.htm;;;;;;;;;;;;;;;;;;;;;
37;29.09.2011;CMS to Hold COP Preparatory Workshop for the African Region;;http://old.cms.int/news/PRESS/nwPR2011/09_sep/nw_280911_CMS_COP_workshop_africa.htm;;;;;;;;;;;;;;;;;;;;;
38;19.10.2011;Thesis Award Report Published;;http://old.cms.int/news/PRESS/nwPR2011/10_oct/nw_191011_thesis_report.htm;;;;;;;;;;;;;;;;;;;;;
39;24.10.2011;UN Day Celebrations in Bonn;;http://old.cms.int/news/PRESS/nwPR2011/10_oct/nw_241011_unday.htm;;;;;;;;;;;;;;;;;;;;;
40;26.10.2011;African Preparatory Negotiation Workshop Empowers CMS Negotiators;;http://old.cms.int/news/PRESS/nwPR2011/10_oct/nw_261011_entebbe_workshop.htm;;;;;;;;;;;;;;;;;;;;;
41;2.11.2011;COP 11 - First Call for Offers to Host CMS COP in 2014!;;http://old.cms.int/news/PRESS/nwPR2011/11_nov/nw_021111_call_cop11.htm;;;;;;;;;;;;;;;;;;;;;
42;7.11.2011;Two Top-Twenty Spots for CMS Family Projects;;http://old.cms.int/news/PRESS/nwPR2011/11_nov/nw_071111_gef_top_twenty.htm;;;;;;;;;;;;;;;;;;;;;
43;14.12.2011;CMS Signs Partnership Agreement with HSI Australia;;http://old.cms.int/news/PRESS/nwPR2011/12_dec/nw_141211_hsi_australia.htm;;;;;;;;;;;;;;;;;;;;;
44;14.12.2011;UNEP/CMS Participates in the Fifth Pan-American Meeting of the Convention on Wetlands;;http://old.cms.int/news/PRESS/nwPR2011/12_dec/nw_141211_ramsar_jamaica.htm;;;;;;;;;;;;;;;;;;;;;
45;27.12.2011;International Symposium on Community-Based Natural Resource Management;;http://old.cms.int/news/PRESS/nwPR2011/12_dec/nw_271211_cbnrm.htm;;;;;;;;;;;;;;;;;;;;;
46;29.12.2011;Lahcen El Kabiri Retires;;http://old.cms.int/news/PRESS/nwPR2011/12_dec/nw_291211_lahcen.htm;;;;;;;;;;;;;;;;;;;;;
47;5.01.2012;Elizabeth Maruma Mrema Takes Up New Assignment in Nairobi;;http://old.cms.int/news/PRESS/nwPR2012/01_jan/nw_050112_mrema_assignment.htm;;;;;;;;;;;;;;;;;;;;;
48;13.01.2012;COP10 Outcome: Migratory Manta Ray under CMS Protection;;http://old.cms.int/news/PRESS/nwPR2012/01_jan/nw_130112_cop_manta_ray.htm;;;;;;;;;;;;;;;;;;;;;
49;17.01.2012;2012 Pablo Canevari Award: Call for Nominations;;http://old.cms.int/news/PRESS/nwPR2012/01_jan/nw_170112_pablo_canevari_award.htm;;;;;;;;;;;;;;;;;;;;;
50;20.01.2012;COP10 Outcome: Argali Mountain Sheep under CMS Protection;;http://old.cms.int/news/PRESS/nwPR2012/01_jan/nw_200112_argali.htm;;;;;;;;;;;;;;;;;;;;;
51;23.01.2012;SPREP hires Convention on Migratory Species Pacific Officer (CMSPO) Penina Solomona;;http://old.cms.int/news/PRESS/nwPR2012/01_jan/nw_230112_solomona.htm;;;;;;;;;;;;;;;;;;;;;
52;27.01.2012;COP10 Outcome: Saker Falcon;;http://old.cms.int/news/PRESS/nwPR2012/01_jan/nw_270112_saker.htm;;;;;;;;;;;;;;;;;;;;;
53;2.02.2012;World Wetlands Day 2012 Focuses on Wetland Tourism;;http://old.cms.int/news/PRESS/nwPR2012/02_feb/nw_020212_wetlands_day.htm;;;;;;;;;;;;;;;;;;;;;
54;3.02.2012;COP10 Outcome: Barriers to Migration – Analyzing the Effects of Infrastructure on Migratory Mammals in Mongolia;;http://old.cms.int/news/PRESS/nwPR2012/02_feb/nw_030212_barriers.htm;;;;;;;;;;;;;;;;;;;;;
55;6.02.2012;Environmental Education to Support Conservation of Wild Camels;;http://old.cms.int/news/PRESS/nwPR2012/02_feb/nw_060212_camels.htm;;;;;;;;;;;;;;;;;;;;;
56;8.02.2012;The Arctic Tern’s Amazing Migration;;http://old.cms.int/news/PRESS/nwPR2012/02_feb/nw_080212_arctic_terns.htm;;;;;;;;;;;;;;;;;;;;;
57;9.02.2012;Promoting the Presence of CMS in the USA;;http://old.cms.int/news/PRESS/nwPR2012/02_feb/nw_090212_washington.htm;;;;;;;;;;;;;;;;;;;;;
58;10.02.2012;COP10 Outcome: Marine Debris;;http://old.cms.int/news/PRESS/nwPR2012/02_feb/nw_100212_marine_debris.htm;;;;;;;;;;;;;;;;;;;;;
59;15.02.2012;Whales and Dolphins at the Forefront at Meetings in March;;http://old.cms.int/news/PRESS/nwPR2012/02_feb/nw_150212_cetaceans.htm;;;;;;;;;;;;;;;;;;;;;
60;16.02.2012;Birds Taken by Surprise by Arctic Conditions in the Wadden Sea;;http://old.cms.int/news/PRESS/nwPR2012/02_feb/nw_160212_waddensee.htm;;;;;;;;;;;;;;;;;;;;;
61;20.02.2012;Sahelo-Saharan Project Reports Steady Progress;;http://old.cms.int/news/PRESS/nwPR2012/02_feb/nw_200212_ssa_niger.htm;;;;;;;;;;;;;;;;;;;;;
62;24.02.2012;COP10 Outcome: Enhancing the Protection of Bukhara Deer and Other Central Asian Mammals;;http://old.cms.int/news/PRESS/nwPR2012/02_feb/nw_240212_bukhara.htm;;;;;;;;;;;;;;;;;;;;;
63;28.02.2012;Nigeria and Cameroon Meet to Protect the World’s Most Elusive Gorilla;;http://old.cms.int/news/PRESS/nwPR2012/02_feb/nw_280212_gorillas.htm;;;;;;;;;;;;;;;;;;;;;
64;22.03.2012;Implementing the CMS Capacity Building Work Plan - Mise en œuvre du plan de travail 2012-2014 de la CMS pour le renforcement des capacités;Mise en œuvre du plan de travail 2012-2014 de la CMS pour le renforcement des capacités;http://old.cms.int/news/PRESS/nwPR2012/03_mar/220312_capacity_building_e.htm;http://old.cms.int/news/PRESS/nwPR2012/03_mar/220312_capacity_building_f.htm;;;;;;;;;;;;;;;;;;;;
65;5.03.2012;COP10 Outcome: Significant Boost to the Implementation of CMS and its Instruments;;http://old.cms.int/news/PRESS/nwPR2012/03_mar/nw_050312_donors.htm;;;;;;;;;;;;;;;;;;;;;
66;8.03.2012;Is the Future of the African Elephant at Stake?;;http://old.cms.int/news/PRESS/nwPR2012/03_mar/nw_080312_elephant.htm;;;;;;;;;;;;;;;;;;;;;
67;8.03.2012;Unique Area for Sahelo-Saharan Species is Now Protected [Communiqué de presse];;http://old.cms.int/news/PRESS/nwPR2012/03_mar/nw_080312_termit.htm;;;;;;http://old.cms.int/news/PRESS/nwPR2012/pressreleases/niger_aire_protegee_090312.pdf;;;;;;;;;;;;;;;
68;12.03.2012;COP10 Outcome: Mitigation of Gillnet Fishing Bycatch;;http://old.cms.int/news/PRESS/nwPR2012/03_mar/nw_120312_bycatch.htm;;;;;;;;;;;;;;;;;;;;;
