ID;Date;Title;French Title;URL (page or PDF);French URL;Spanish URL;Summary (optional);French Summary;Spanish Summary;Attachments URL (optional, if in addition to main text);;;;;;;;;;;;;;;
130;21.03.2013;CMS Welcomes Support for Six Small Grant Projects by WHMSI;;http://old.cms.int/news/PRESS/nwPR2013/03_mar/nw_210313_whmsi_projects.html;;;;;;;;;;;;;;;;;;;;;
131;26.03.2013;"Follow CMS on ""Twitter""";;http://old.cms.int/news/PRESS/nwPR2013/03_mar/nw_260313_twitter.html;;;;;;;;;;;;;;;;;;;;;
132;28.03.2013;Funding Opportunities from US: USFWS Grant Announcement - Deadline May 1;;http://old.cms.int/news/PRESS/nwPR2013/03_mar/nw_280313_usfws.html;;;;;;;;;;;;;;;;;;;;;
133;01.04.2013;Project of the Month: Supporting Tajikistan in Transboundary Cooperation on Snow Leopards;;http://old.cms.int/news/PRESS/nwPR2013/04_apr/nw_020413_snowleopard.html;;;;;;;;;;;;;;;;;;;;;
134;04.04.2013;Great Bustard MOU Meeting Starts 8 April;;http://old.cms.int/news/PRESS/nwPR2013/04_apr/nw_040413_greatbustard.html;;;;;;;;;;;;;;;;;;;;;
135;10.04.2013;On Verdi's Wings - Italian Opera Choir Will Sing for Migratory Birds;;http://old.cms.int/news/PRESS/nwPR2013/04_apr/nw_090413_italian_opera_choir_wmbd.html;;;;;;;;;;;;;;;;;;;;;
136;12.04.2013;Successful Meeting on Great Bustards;;http://old.cms.int/news/PRESS/nwPR2013/04_apr/nw_120413_great_bustard.htm;;;;;;;;;;;;;;;;;;;;;
137;26.04.2013;Consultation Draft Released - First Draft Strategic Plan for Migratory Species 2015-2023;;http://old.cms.int/news/PRESS/nwPR2013/04_apr/nw_260413_draft_strat_plan.html;;;;;;;;;;;;;;;;;;;;;
138;02.05.2013;New Step for Cooperation in the Arctic;;http://old.cms.int/news/PRESS/nwPR2013/05_may/nw_010513_caff.html;;;;;;;;;;;;;;;;;;;;;
139;03.05.2013;Distribution and Abundance of Andean Flamingos in Peru / Flamencos Altoandinos en Perú;;http://old.cms.int/news/PRESS/nwPR2013/05_may/nw_030513_flamingos.html;;http://old.cms.int/news/PRESS/nwPR2013/05_may/nw_030513_flamingos_s.html;;;;;;;;;;;;;;;;;;;
140;09.05.2013;The Role of CMS in the Conservation of Desert Antelopes Highlighted at a Meeting on Sahelo-Saharan Biodiversity;;http://old.cms.int/news/PRESS/nwPR2013/05_may/nw_090513_ssig.html;;;;;;;;;;;;;;;;;;;;;
141;10.05.2013;CMS Joins Global Partnership on Oceans;;http://old.cms.int/news/PRESS/nwPR2013/05_may/nw_100513_global_oceans.html;;;;;;;;;;;;;;;;;;;;;
142;14.05.2013;Bologna Opera Choir Enraptures Audience at Verdi Concert;;http://old.cms.int/news/PRESS/nwPR2013/05_may/nw_140513_bologna_choir_wmbd_concert.html;;;;;;;;;;;;;;;;;;;;;
143;15.05.2013;New Arctic Biodiversity Assessment Helps Conserve Migratory Species;;http://old.cms.int/news/PRESS/nwPR2013/05_may/nw_150513_arctic_biodiversity_assessment.html;;;;;;;;;;;;;;;;;;;;;
144;17.05.2013;The Last 300 - What do Germany's Native Whales Mean to You? - (German Press Release);;http://old.cms.int/news/PRESS/nwPR2013/05_may/nw_170513_the_last_300.html;;;;;;;;;;;;;;;;;;;;;
145;22.05.2013;CMS Highlights Need to Conserve Marine Species and Their Habitats;;http://old.cms.int/news/PRESS/nwPR2013/05_may/nw_220513_cms_idb.html;;;;;;;;;;;;;;;;;;;;;
146;28.05.2013;CMS Partners with Biodiversity Related Organizations to Address Species Extinction;;http://old.cms.int/news/PRESS/nwPR2013/05_may/nw_280513_friends_target12.html;;;;;;;;;;;;;;;;;;;;;
147;03.06.2013;Project of the Month: Empowering Local Fishing Communities to Conserve Coastal Dolphins in Congo;;http://old.cms.int/news/PRESS/nwPR2013/06_jun/nw_030613_dolphins_congo.html;;;;;;;;;;;;;;;;;;;;;
148;06.06.2013;Minimizing the Risk of Poisoning to Migratory Birds - First Steps: CMS Technical Workshop in Tunisia;;http://old.cms.int/news/PRESS/nwPR2013/06_jun/nw_060613_tunis_poisoning_ws.html;;;;;;;;;;;;;;;;;;;;;
149;17.06.2013;“Don’t Let Our Future Dry Up” - World Day to Combat Desertification 2013;;http://old.cms.int/news/PRESS/nwPR2013/06_jun/nw_170613_desertification.html;;;;;;;;;;;;;;;;;;;;;
150;18.06.2013;Launch of Saiga Resource Centre;;http://old.cms.int/news/PRESS/nwPR2013/06_jun/nw_180613_saiga_resource_centre.html;;;;;;;;;;;;;;;;;;;;;
151;01.07.2013;CMS Secretariat Presents Publication as Legacy of the Year of the Bat Campaign;;http://old.cms.int/news/PRESS/nwPR2013/07_jul/nw_010713_bats_around_the_world.html;;;;;;;;;;;;;;;;;;;;;
152;02.07.2013;Collaboration between National Focal Points of CBD, CMS and CITES in Revising National Biodiversity Strategies and Action Plans;;http://old.cms.int/news/PRESS/nwPR2013/07_jul/nw_020713_nbsaps_cameroon.html;;;;;;;;;;;;;;;;;;;;;
153;03.07.2013;Project of the Month: Old Slovakian Mines to Become Safe Roosts for Bats;;http://old.cms.int/news/PRESS/nwPR2013/07_jul/nw_030713_bats_slovakia.html;;;;;;;;;;;;;;;;;;;;;
154;10.07.2013;Welcome to Jillian Grayson: CMS’s New Associate Programme Officer in Abu Dhabi;;http://old.cms.int/news/PRESS/nwPR2013/07_jul/nw_100713_new_jpo_abu_dhabi.html;;;;;;;;;;;;;;;;;;;;;
155;17.07.2013;New Address for CMS Family in Bonn;;http://old.cms.int/news/PRESS/nwPR2013/07_jul/nw_170713_new_address.html;;;;;;;;;;;;;;;;;;;;;
156;01.08.2013;Project of the Month: Dalmatian Pelicans and Wetlands of the Mediterranean Basin;;http://old.cms.int/news/PRESS/nwPR2013/08_aug/nw_010813_pelicans.html;;;;;;;;;;;;;;;;;;;;;
157;12.08.2013;RSPB: Turkish Ibis Arrive at Palmyra;;http://old.cms.int/news/PRESS/nwPR2013/08_aug/nw_120813_baldibis.html;;;;;;;;;;;;;;;;;;;;;
158;13.08.2013;CMS Assists the Preparation of the Action Plan for the High Andean Flamingos in Antofagasta Chile;;http://old.cms.int/news/PRESS/nwPR2013/08_aug/nw_130813_flamingos_e.html;;http://old.cms.int/news/PRESS/nwPR2013/08_aug/nw_130813_flamingos_s.html;;;;;;;;;;;;;;;;;;;
159;15.08.2013;New Report: Moulting Shelduck in the Wadden Sea 2010-2012;;http://old.cms.int/news/PRESS/nwPR2013/08_aug/nw_150813_shelduck.html;;;;;;;;;;;;;;;;;;;;;
160;21.08.2013;CMS and Marine Areas Beyond National Jurisdiction;;http://old.cms.int/news/PRESS/nwPR2013/08_aug/nw_210813_cms_ABNJ.html;;;;;;;;;;;;;;;;;;;;;
161;28.08.2013;Tribute to Dr. Françoise Burhenne-Guilmin, the Mother of the Convention on Migratory Species;;http://old.cms.int/news/PRESS/nwPR2013/08_aug/nw_280813_F.Burhenne_Guilmin.htm;;;;;;;;;;;;;;;;;;;;;
162;29.08.2013;Firma de Plan de Acción entre Argentina y Chile para la conservación del Cauquén de cabeza colorada;;http://old.cms.int/news/PRESS/nwPR2013/08_aug/nw_29_0813_ruddy_headed_goose.html;;;;;;;;;;;;;;;;;;;;;
163;30.08.2013;Cristina Morales Consejera Científica de CMS fue nombrada Ministra del Ambiente del Paraguay;;http://old.cms.int/news/PRESS/nwPR2013/08_aug/nw_300813_cristina_morales.html;;;;;;;;;;;;;;;;;;;;;
164;02.09.2013;ASCOBANS Advisory Committee Addresses Key Threats to Small Cetaceans;;http://old.cms.int/news/PRESS/nwPR2013/09_sep/nw_020913_ascobans_ac.html;;;;;;;;;;;;;;;;;;;;;
165;06.09.2013;Project of the Month: Addressing Data Gaps to Improve Sea Turtle Monitoring in Tanzania;;http://old.cms.int/news/PRESS/nwPR2013/09_sep/nw_060913_project_month_sea_sense.html;;;;;;;;;;;;;;;;;;;;;
166;12.09.2013;Antelope Horns Worth $22 Million Seized in China;;http://old.cms.int/news/PRESS/nwPR2013/09_sep/nw_120913_antelope_horns_china.html;;;;;;;;;;;;;;;;;;;;;
167;12.09.2013;German Federal President Visits UN Campus in Bonn;;http://old.cms.int/news/PRESS/nwPR2013/09_sep/nw_120913_federal_president.html;;;;;;;;;;;;;;;;;;;;;
168;23.09.2013;Saker Falcon Task Force Develops Global Action Plan;;http://old.cms.int/news/PRESS/nwPR2013/09_sep/nw_230913_saker_falcon_globalactionplan.html;;;;;;http://old.cms.int/news/PRESS/nwPR2013/09_sep/23092013_sakergap_a.pdf;;;;;;;;;;;;;;;
169;04.10.2013;IOSEA Publishes e-News on Marine Turtle Conservation;;http://old.cms.int/news/PRESS/nwPR2013/10_oct/nw_041013_iosea.html;;;;;;;;;;;;;;;;;;;;;
170;15.10.2013;National Reporting Form for CMS COP11 now available;Formulaire  de rapport national pour la COP11 de la CMS désormais disponible;http://old.cms.int/news/PRESS/nwPR2013/10_oct/nw_151013_online_reports_e.html;http://old.cms.int/news/PRESS/nwPR2013/10_oct/nw_151013_online_reports_f.html;http://old.cms.int/news/PRESS/nwPR2013/10_oct/nw_151013_online_reports_s.html;;;;;;;;;;;;;;;;;;;
171;22.10.2013;Project of the Month: Participatory Community Monitoring of Humpback Whales in Costa Rica;;http://old.cms.int/news/PRESS/nwPR2013/10_oct/nw_221013_project_of_the_month.html;;;;;;;;;;;;;;;;;;;;;
172;24.10.2013;CMS Family Celebrates UN Day;;http://old.cms.int/news/PRESS/nwPR2013/10_oct/nw_241013_unday.html;;;;;;;;;;;;;;;;;;;;;
173;25.10.2013;CMS Week on Science and Conservation Held in Formia (Italy);;http://old.cms.int/news/PRESS/nwPR2013/10_oct/nw_251013_scc_formia.html;;;;;;;;;;;;;;;;;;;;;
174;29.10.2013;CMS Opens First Capacity Building Workshop for National Focal Points in Africa;;http://old.cms.int/news/PRESS/nwPR2013/10_oct/nw_291013_capbdg_ws.html;;;;;;;;;;;;;;;;;;;;;
175;01.11.2013;CMS Raptors MOU Celebrates its 5th Anniversary;;http://old.cms.int/news/PRESS/nwPR2013/11_nov/nw_011113_raptors_5th_anniv.html;;;;;;, http://old.cms.int/news/PRESS/nwPR2013/11_nov/raptors_5th_pr_a.pdf, http://old.cms.int/news/PRESS/nwPR2013/11_nov/raptors_5th_pr_g.pdf;;;;;;;;;;;;;;;
176;06.11.2013;Nagaland - Falcon Capital of the World;;http://old.cms.int/news/PRESS/nwPR2013/11_nov/nw_061113_nagaland_amurfalcons.html;;;;;;;;;;;;;;;;;;;;;
177;07.11.2013;Project of the Month: the Saiga Resource Centre;;http://old.cms.int/news/PRESS/nwPR2013/11_nov/nw_071113_potm_saiga_resource_centre.html;;;;;;;;;;;;;;;;;;;;;
178;08.11.2013;Migratory Species: Great Potential for the Green Economy in Italy;;http://old.cms.int/news/PRESS/nwPR2013/11_nov/nw_081113_italy_green_economy.html;;;;;;;;;;;;;;;;;;;;;
179;02.12.2013;CMS COP11 Will be Held in Ecuador;;http://old.cms.int/news/PRESS/nwPR2013/12_dec/nw_021213_ecuador_cop11.html;;;;;;;;;;;;;;;;;;;;;
180;03.12.2013;Project of the Month: South meets North, a Partnership Linking Sooty Falcon Conservationists;;http://old.cms.int/news/PRESS/nwPR2013/12_dec/nw_031213_potm_n_s_sootyfalcon.html;;;;;;;;;;;;;;;;;;;;;
181;03.12.2013;CMS Standing Committee Focuses on Future Structure and Synergies;;http://old.cms.int/news/PRESS/nwPR2013/12_dec/nw_031213_stc41.html;;;;;;;;;;;;;;;;;;;;;
182;06.12.2013;Colombia Signs Sharks MOU;;http://old.cms.int/news/PRESS/nwPR2013/12_dec/nw_061213_colombia_signs_sharksmou.html;;;;;;;;;;;;;;;;;;;;;
183;10.12.2013;Winner of Creativity Competition “the Last 300” Announced;;http://old.cms.int/news/PRESS/nwPR2013/12_dec/nw_101213_last300.html;;;;;;;;;;;;;;;;;;;;;
184;11.12.2013;Urgent Action Agreed for African Elephants;;http://old.cms.int/news/PRESS/nwPR2013/12_dec/nw_111213_african_elephants.html;;;;;;;;;;;;;;;;;;;;;
185;2.11.2011;Welcome to Nick P Williams as Programme Officer (Raptors);;http://old.cms.int/secretariat/abu_dhabi_images/nw_031111_nick_williams.htm;;;;;;;;;;;;;;;;;;;;;
186;29.02.2012;Raptors MoU – 100 days as Programme Officer;MdE Rapaces - 100 Jours comme Administrateur de Programme;http://old.cms.int/species/raptors/nick_williams_100days.htm;http://old.cms.int/species/raptors/nick_williams_100jours.htm;;;;;;;;;;;;;;;;;;;;
